"Tipo_Aloxamento";"Ano";"Numero_Establecementos";"Area";"Area.1"
"181";"Albergues turisticos";"2013";62;"A CORUNA";NA
"182";"Albergues turisticos";"2017";142;"A CORUNA";NA
"183";"Albergues turisticos";"2018";157;"A CORUNA";NA
"184";"Albergues turisticos";"2019";172;"A CORUNA";NA
"185";"Albergues turisticos";"2020";182;"A CORUNA";NA
"186";"Albergues turisticos";"2021";187;"A CORUNA";NA
"187";"Albergues turisticos";"2022";195;"A CORUNA";NA
"188";"Turismo rural";NA;NA;"A CORUNA";NA
"189";NA;"2003";114;"A CORUNA";NA
"190";NA;"2004";122;"A CORUNA";NA
"191";NA;"2005";124;"A CORUNA";NA
"192";NA;"2006";140;"A CORUNA";NA
"193";NA;"2007";147;"A CORUNA";NA
"194";NA;"2008";159;"A CORUNA";NA
"195";NA;"2009";169;"A CORUNA";NA
"196";NA;"2010";169;"A CORUNA";NA
"197";NA;"2011";171;"A CORUNA";NA
"198";NA;"2012";172;"A CORUNA";NA
"199";NA;"2013";173;"A CORUNA";NA
"200";NA;"2017";166;"A CORUNA";NA
"201";NA;"2018";166;"A CORUNA";NA
"202";NA;"2019";165;"A CORUNA";NA
"203";NA;"2020";166;"A CORUNA";NA
"204";NA;"2021";158;"A CORUNA";NA
"205";NA;"2022";155;"A CORUNA";NA
"206";"Campamentos de turismo";NA;NA;"A CORUNA";NA
"207";NA;"2003";48;"A CORUNA";NA
"208";NA;"2004";47;"A CORUNA";NA
"209";NA;"2005";47;"A CORUNA";NA
"210";NA;"2006";49;"A CORUNA";NA
"211";NA;"2007";50;"A CORUNA";NA
"212";NA;"2008";50;"A CORUNA";NA
"213";NA;"2009";50;"A CORUNA";NA
"214";NA;"2010";50;"A CORUNA";NA
"215";NA;"2011";50;"A CORUNA";NA
"216";NA;"2012";50;"A CORUNA";NA
"217";NA;"2013";50;"A CORUNA";NA
"218";NA;"2017";50;"A CORUNA";NA
"219";NA;"2018";50;"A CORUNA";NA
"220";NA;"2019";52;"A CORUNA";NA
"221";NA;"2020";55;"A CORUNA";NA
"222";NA;"2021";58;"A CORUNA";NA
"223";NA;"2022";60;"A CORUNA";NA
"224";"Apartamentos turísticos";NA;NA;"A CORUNA";NA
"225";NA;"2003";NA;"A CORUNA";NA
"226";NA;"2004";NA;"A CORUNA";NA
"227";NA;"2005";NA;"A CORUNA";NA
"228";NA;"2006";21;"A CORUNA";NA
"229";NA;"2007";23;"A CORUNA";NA
"230";NA;"2008";25;"A CORUNA";NA
"231";NA;"2009";30;"A CORUNA";NA
"232";NA;"2010";36;"A CORUNA";NA
"233";NA;"2011";33;"A CORUNA";NA
"234";NA;"2012";45;"A CORUNA";NA
"235";NA;"2013";50;"A CORUNA";NA
"236";NA;"2017";79;"A CORUNA";NA
"237";NA;"2018";88;"A CORUNA";NA
"238";NA;"2019";94;"A CORUNA";NA
"239";NA;"2020";104;"A CORUNA";NA
"240";NA;"2021";115;"A CORUNA";NA
"241";NA;"2022";130;"A CORUNA";NA
"242";"Vivendas turísticas";NA;NA;"A CORUNA";NA
"243";NA;"2003";NA;"A CORUNA";NA
"244";NA;"2004";NA;"A CORUNA";NA
"245";NA;"2005";NA;"A CORUNA";NA
"246";NA;"2006";NA;"A CORUNA";NA
"247";NA;"2007";NA;"A CORUNA";NA
"248";NA;"2008";NA;"A CORUNA";NA
"249";NA;"2009";NA;"A CORUNA";NA
"250";NA;"2010";NA;"A CORUNA";NA
"251";NA;"2011";NA;"A CORUNA";NA
"252";NA;"2012";NA;"A CORUNA";NA
"253";NA;"2013";NA;"A CORUNA";NA
"254";NA;"2017";102;"A CORUNA";NA
"255";NA;"2018";114;"A CORUNA";NA
"256";NA;"2019";111;"A CORUNA";NA
"257";NA;"2020";100;"A CORUNA";NA
"258";NA;"2021";100;"A CORUNA";NA
"259";NA;"2022";102;"A CORUNA";NA
"260";"Vivendas de uso turístico";NA;NA;"A CORUNA";NA
"261";NA;"2003";0;"A CORUNA";NA
"262";NA;"2004";0;"A CORUNA";NA
"263";NA;"2005";0;"A CORUNA";NA
"264";NA;"2006";0;"A CORUNA";NA
"265";NA;"2007";0;"A CORUNA";NA
"266";NA;"2008";0;"A CORUNA";NA
"267";NA;"2009";0;"A CORUNA";NA
"268";NA;"2010";0;"A CORUNA";NA
"269";NA;"2011";0;"A CORUNA";NA
"270";NA;"2012";0;"A CORUNA";NA
"271";NA;"2013";0;"A CORUNA";NA
"272";NA;"2017";0;"A CORUNA";NA
"273";NA;"2018";1578;"A CORUNA";NA
"274";NA;"2019";2811;"A CORUNA";NA
"275";NA;"2020";3714;"A CORUNA";NA
"276";NA;"2021";4345;"A CORUNA";NA
"277";NA;"2022";4941;"A CORUNA";NA
"278";"1501";"Arzúa";NA;"ARZUA ";1501
"279";"Hoteis";NA;NA;"ARZUA ";NA
"280";NA;"2003";4;"ARZUA ";NA
"281";NA;"2004";4;"ARZUA ";NA
"282";NA;"2005";4;"ARZUA ";NA
"283";NA;"2006";4;"ARZUA ";NA
"284";NA;"2007";4;"ARZUA ";NA
"285";NA;"2008";4;"ARZUA ";NA
"286";NA;"2009";4;"ARZUA ";NA
"287";NA;"2010";5;"ARZUA ";NA
"288";NA;"2011";5;"ARZUA ";NA
"289";NA;"2012";5;"ARZUA ";NA
"290";NA;"2013";5;"ARZUA ";NA
"291";NA;"2017";6;"ARZUA ";NA
"292";NA;"2018";6;"ARZUA ";NA
"293";NA;"2019";6;"ARZUA ";NA
"294";NA;"2020";9;"ARZUA ";NA
"295";NA;"2021";10;"ARZUA ";NA
"296";NA;"2022";10;"ARZUA ";NA
"297";"Pensións";NA;NA;"ARZUA ";NA
"298";NA;"2003";NA;"ARZUA ";NA
"299";NA;"2004";NA;"ARZUA ";NA
"300";NA;"2005";NA;"ARZUA ";NA
"301";NA;"2006";NA;"ARZUA ";NA
"302";NA;"2007";NA;"ARZUA ";NA
"303";NA;"2008";NA;"ARZUA ";NA
"304";NA;"2009";30;"ARZUA ";NA
"305";NA;"2010";32;"ARZUA ";NA
"306";NA;"2011";39;"ARZUA ";NA
"307";NA;"2012";49;"ARZUA ";NA
"308";NA;"2013";32;"ARZUA ";NA
"309";NA;"2017";41;"ARZUA ";NA
"310";NA;"2018";46;"ARZUA ";NA
"311";NA;"2019";55;"ARZUA ";NA
"312";NA;"2020";64;"ARZUA ";NA
"313";NA;"2021";68;"ARZUA ";NA
"314";NA;"2022";71;"ARZUA ";NA
"315";"Albergues turísticos";NA;NA;"ARZUA ";NA
"316";NA;"2003";NA;"ARZUA ";NA
"317";NA;"2004";NA;"ARZUA ";NA
"318";NA;"2005";NA;"ARZUA ";NA
"319";NA;"2006";NA;"ARZUA ";NA
"320";NA;"2007";NA;"ARZUA ";NA
"321";NA;"2008";NA;"ARZUA ";NA
"322";NA;"2009";NA;"ARZUA ";NA
"323";NA;"2010";NA;"ARZUA ";NA
"324";NA;"2011";NA;"ARZUA ";NA
"325";NA;"2012";17;"ARZUA ";NA
"326";NA;"2013";19;"ARZUA ";NA
"327";NA;"2017";36;"ARZUA ";NA
"328";NA;"2018";39;"ARZUA ";NA
"329";NA;"2019";41;"ARZUA ";NA
"330";NA;"2020";45;"ARZUA ";NA
"331";NA;"2021";47;"ARZUA ";NA
"332";NA;"2022";48;"ARZUA ";NA
"333";"Turismo rural";NA;NA;"ARZUA ";NA
"334";NA;"2003";16;"ARZUA ";NA
"335";NA;"2004";20;"ARZUA ";NA
"336";NA;"2005";19;"ARZUA ";NA
"337";NA;"2006";21;"ARZUA ";NA
"338";NA;"2007";21;"ARZUA ";NA
"339";NA;"2008";23;"ARZUA ";NA
"340";NA;"2009";25;"ARZUA ";NA
"341";NA;"2010";25;"ARZUA ";NA
"342";NA;"2011";25;"ARZUA ";NA
"343";NA;"2012";26;"ARZUA ";NA
"344";NA;"2013";26;"ARZUA ";NA
"345";NA;"2017";28;"ARZUA ";NA
"346";NA;"2018";29;"ARZUA ";NA
"347";NA;"2019";29;"ARZUA ";NA
"348";NA;"2020";29;"ARZUA ";NA
"349";NA;"2021";27;"ARZUA ";NA
"350";NA;"2022";27;"ARZUA ";NA
"351";"Campamentos de turismo";NA;NA;"ARZUA ";NA
"352";NA;"2003";0;"ARZUA ";NA
"353";NA;"2004";0;"ARZUA ";NA
"354";NA;"2005";0;"ARZUA ";NA
"355";NA;"2006";0;"ARZUA ";NA
"356";NA;"2007";0;"ARZUA ";NA
"357";NA;"2008";0;"ARZUA ";NA
"358";NA;"2009";0;"ARZUA ";NA
"359";NA;"2010";0;"ARZUA ";NA
"360";NA;"2011";0;"ARZUA ";NA
"361";NA;"2012";0;"ARZUA ";NA
"362";NA;"2013";0;"ARZUA ";NA
"363";NA;"2017";0;"ARZUA ";NA
"364";NA;"2018";0;"ARZUA ";NA
"365";NA;"2019";1;"ARZUA ";NA
"366";NA;"2020";2;"ARZUA ";NA
"367";NA;"2021";3;"ARZUA ";NA
"368";NA;"2022";3;"ARZUA ";NA
"369";"Apartamentos turísticos";NA;NA;"ARZUA ";NA
"370";NA;"2003";0;"ARZUA ";NA
"371";NA;"2004";0;"ARZUA ";NA
"372";NA;"2005";0;"ARZUA ";NA
"373";NA;"2006";1;"ARZUA ";NA
"374";NA;"2007";1;"ARZUA ";NA
"375";NA;"2008";2;"ARZUA ";NA
"376";NA;"2009";3;"ARZUA ";NA
"377";NA;"2010";3;"ARZUA ";NA
"378";NA;"2011";3;"ARZUA ";NA
"379";NA;"2012";3;"ARZUA ";NA
"380";NA;"2013";3;"ARZUA ";NA
"381";NA;"2017";4;"ARZUA ";NA
"382";NA;"2018";4;"ARZUA ";NA
"383";NA;"2019";4;"ARZUA ";NA
"384";NA;"2020";6;"ARZUA ";NA
"385";NA;"2021";7;"ARZUA ";NA
"386";NA;"2022";8;"ARZUA ";NA
"387";"Vivendas turísticas";NA;NA;"ARZUA ";NA
"388";NA;"2003";NA;"ARZUA ";NA
"389";NA;"2004";NA;"ARZUA ";NA
"390";NA;"2005";NA;"ARZUA ";NA
"391";NA;"2006";NA;"ARZUA ";NA
"392";NA;"2007";NA;"ARZUA ";NA
"393";NA;"2008";NA;"ARZUA ";NA
"394";NA;"2009";NA;"ARZUA ";NA
"395";NA;"2010";NA;"ARZUA ";NA
"396";NA;"2011";NA;"ARZUA ";NA
"397";NA;"2012";NA;"ARZUA ";NA
"398";NA;"2013";NA;"ARZUA ";NA
"399";NA;"2017";3;"ARZUA ";NA
"400";NA;"2018";5;"ARZUA ";NA
"401";NA;"2019";5;"ARZUA ";NA
"402";NA;"2020";5;"ARZUA ";NA
"403";NA;"2021";5;"ARZUA ";NA
"404";NA;"2022";5;"ARZUA ";NA
"405";"Vivendas de uso turístico";NA;NA;"ARZUA ";NA
"406";NA;"2003";0;"ARZUA ";NA
"407";NA;"2004";0;"ARZUA ";NA
"408";NA;"2005";0;"ARZUA ";NA
"409";NA;"2006";0;"ARZUA ";NA
"410";NA;"2007";0;"ARZUA ";NA
"411";NA;"2008";0;"ARZUA ";NA
"412";NA;"2009";0;"ARZUA ";NA
"413";NA;"2010";0;"ARZUA ";NA
"414";NA;"2011";0;"ARZUA ";NA
"415";NA;"2012";0;"ARZUA ";NA
"416";NA;"2013";0;"ARZUA ";NA
"417";NA;"2017";0;"ARZUA ";NA
"418";NA;"2018";33;"ARZUA ";NA
"419";NA;"2019";65;"ARZUA ";NA
"420";NA;"2020";94;"ARZUA ";NA
"421";NA;"2021";106;"ARZUA ";NA
"422";NA;"2022";109;"ARZUA ";NA
"423";"15006";"Arzúa";NA;"AARZUA";15006
"424";"Hoteis";NA;NA;"AARZUA";NA
"425";NA;"2003";2;"AARZUA";NA
"426";NA;"2004";2;"AARZUA";NA
"427";NA;"2005";2;"AARZUA";NA
"428";NA;"2006";2;"AARZUA";NA
"429";NA;"2007";2;"AARZUA";NA
"430";NA;"2008";2;"AARZUA";NA
"431";NA;"2009";2;"AARZUA";NA
"432";NA;"2010";2;"AARZUA";NA
"433";NA;"2011";2;"AARZUA";NA
"434";NA;"2012";2;"AARZUA";NA
"435";NA;"2013";2;"AARZUA";NA
"436";NA;"2017";2;"AARZUA";NA
"437";NA;"2018";2;"AARZUA";NA
"438";NA;"2019";2;"AARZUA";NA
"439";NA;"2020";4;"AARZUA";NA
"440";NA;"2021";5;"AARZUA";NA
"441";NA;"2022";5;"AARZUA";NA
"442";"Pensións";NA;NA;"AARZUA";NA
"443";NA;"2003";NA;"AARZUA";NA
"444";NA;"2004";NA;"AARZUA";NA
"445";NA;"2005";NA;"AARZUA";NA
"446";NA;"2006";NA;"AARZUA";NA
"447";NA;"2007";NA;"AARZUA";NA
"448";NA;"2008";NA;"AARZUA";NA
"449";NA;"2009";17;"AARZUA";NA
