Tipo aloxamento,Ano,Establecementos,
,2006,-0,A CORUNA
,2007,-0,A CORUNA
,2008,-0,A CORUNA
,2009,-0,A CORUNA
,2010,-0,A CORUNA
,2011,-0,A CORUNA
,2012,-0,A CORUNA
,2013,-0,A CORUNA
,2017,-0,A CORUNA
,2018,1578,A CORUNA
,2019,2811,A CORUNA
,2020,3714,A CORUNA
,2021,4345,A CORUNA
,2022,4941,A CORUNA
1501,Arzúa,,
Hoteis,,,
,2003,4,
,2004,4,
,2005,4,
,2006,4,
,2007,4,
,2008,4,
,2009,4,
,2010,5,
,2011,5,
,2012,5,
,2013,5,
,2017,6,
,2018,6,
,2019,6,
,2020,9,
,2021,10,
,2022,10,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,30,
,2010,32,
,2011,39,
,2012,49,
,2013,32,
,2017,41,
,2018,46,
,2019,55,
,2020,64,
,2021,68,
,2022,71,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,17,
,2013,19,
,2017,36,
,2018,39,
,2019,41,
,2020,45,
,2021,47,
,2022,48,
Turismo rural,,,
,2003,16,
,2004,20,
,2005,19,
,2006,21,
,2007,21,
,2008,23,
,2009,25,
,2010,25,
,2011,25,
,2012,26,
,2013,26,
,2017,28,
,2018,29,
,2019,29,
,2020,29,
,2021,27,
,2022,27,
Campamentos de turismo,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,1,
,2020,2,
,2021,3,
,2022,3,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,1,
,2007,1,
,2008,2,
,2009,3,
,2010,3,
,2011,3,
,2012,3,
,2013,3,
,2017,4,
,2018,4,
,2019,4,
,2020,6,
,2021,7,
,2022,8,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,3,
,2018,5,
,2019,5,
,2020,5,
,2021,5,
,2022,5,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,33,
,2019,65,
,2020,94,
,2021,106,
,2022,109,
15006,Arzúa,,
Hoteis,,,
,2003,2,
,2004,2,
,2005,2,
,2006,2,
,2007,2,
,2008,2,
,2009,2,
,2010,2,
,2011,2,
,2012,2,
,2013,2,
,2017,2,
,2018,2,
,2019,2,
,2020,4,
,2021,5,
,2022,5,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,17,
,2010,19,
,2011,22,
,2012,26,
,2013,13,
,2017,16,
,2018,17,
,2019,17,
,2020,19,
,2021,20,
,2022,20,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,13,
,2013,12,
,2017,19,
,2018,21,
,2019,22,
,2020,24,
,2021,25,
,2022,26,
Turismo rural,,,
,2003,12,
,2004,12,
,2005,11,
,2006,13,
,2007,13,
,2008,15,
,2009,16,
,2010,16,
,2011,16,
,2012,17,
,2013,16,
,2017,17,
,2018,18,
,2019,18,
,2020,18,
,2021,17,
,2022,17,
Campamentos de turismo,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,1,
,2022,1,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,1,
,2009,1,
,2010,1,
,2011,1,
,2012,1,
,2013,1,
,2017,2,
,2018,2,
,2019,2,
,2020,3,
,2021,3,
,2022,3,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,3,
,2018,3,
,2019,3,
,2020,3,
,2021,3,
,2022,3,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
